func_name,func_addr
main,0x1005c1
dp_secret_digest,0x100649
char_out,0x100691
vprintk,0x10069d
z_thread_entry,0x1006d9
mem_attr_get_regions,0x10070d
arch_tls_stack_setup,0x100735
z_arm_fault_init,0x1009e5
__start,0x100a09
z_arm_clear_arm_mpu_config,0x100a65
z_arm_init_arch_hw_at_boot,0x100a89
z_impl_k_thread_abort,0x100ad5
arch_swap,0x100b01
arch_irq_enable,0x100bd9
z_arm_irq_priority_set,0x100bf5
z_prep_c,0x100c21
arch_new_thread,0x100c4d
arch_switch_to_main_thread,0x100c89
z_arm_cpu_idle_init,0x100cc9
z_arm_interrupt_init,0x100cd5
z_arm_configure_static_mpu_regions,0x100d11
region_init,0x100d49
region_allocate_and_init,0x100d7d
mpu_configure_regions_and_partition.constprop.0,0x100da1
arm_core_mpu_enable,0x100ee9
arm_core_mpu_disable,0x100f01
arm_core_mpu_configure_static_mpu_regions,0x100f15
arm_core_mpu_mark_areas_for_dynamic_regions,0x100f29
z_arm_mpu_init,0x100fe1
elapsed,0x1011bd
sys_clock_driver_init,0x101209
sys_clock_set_timeout,0x101285
sys_clock_elapsed,0x101369
tfm_ns_interface_dispatch,0x1013a5
psa_call,0x10140d
psa_connect,0x101441
psa_close,0x10145d
z_sys_init_run_level,0x1014a9
bg_thread_main,0x1014d5
z_bss_zero,0x101595
z_init_cpu,0x1015ad
z_cstart,0x101629
z_impl_k_mutex_lock,0x1016f5
z_impl_k_mutex_unlock,0x1017e5
z_setup_new_thread,0x10185d
update_cache,0x1018d9
unready_thread,0x101915
ready_thread,0x101945
z_pend_curr,0x101af9
z_thread_prio_set,0x101b51
z_reschedule,0x101bd9
z_sched_start,0x101bfd
z_reschedule_irqlock,0x101c39
k_sched_lock,0x101c61
k_sched_unlock,0x101c89
z_sched_init,0x101cc9
z_impl_k_sched_current_thread_query,0x101cd9
thread_is_sliceable,0x101d05
z_reset_time_slice,0x101d41
z_data_copy,0x101df1
elapsed,0x101e25
next_timeout,0x101e71
z_add_timeout,0x101eb1
boot_banner,0x102075
vfprintf,0x102081
arch_printk_char_out,0x1026f7
printk,0x1026fb
z_arm_save_fp_context,0x10272b
z_arm_restore_fp_context,0x10272d
arch_irq_unlock_outlined,0x102737
arm_cmse_mpu_region_get,0x10275f
mpu_configure_region,0x102771
gpio_cmsdk_ahb_init,0x1028d7
gpio_cmsdk_port_0_config_func,0x1028e3
_mbedtls_init,0x102c8b
z_device_state_init,0x102c93
do_device_init,0x102cc1
z_early_memset,0x102cf1
z_early_memcpy,0x102cf5
adjust_owner_prio.isra.0,0x102d0f
z_impl_k_thread_start,0x102d1f
sys_dlist_remove,0x102d23
add_to_waitq_locked,0x102d47
z_ready_thread,0x102d97
z_thread_abort,0x102e35
z_abort_timeout,0x102e79
strnlen,0x102ea3
__ultoa_invert,0x102ebb
__aeabi_memcpy8,0x102f67
memset,0x102f81
__aeabi_read_tp,0x102f91
restart_syscall,0x28400000
